!RNX Dual-Polarized Feed Calibration Data
!Created: 20250728T094434ZZ
!Operator: Default
!Base Parameters:
!  Reference_Power: -10.0_-5.0 dBm
!  Polarization: DUAL
!  Distance: 1.0 m
!Equipment:
!  Signal_Generator: PLASG-T8G40G_SN:
!  Spectrum_Analyzer: NRP50S_SN:
!  Antenna: RNX_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 8.0 GHz
!  Stop: 40.0 GHz
!  Step: FreqList GHz
!  Points: 324
!Data Columns:
!  1: Frequency(GHz)
!  2: Theta(dB)
!  3: Phi(dB)
!  4: Horn_Gain(GHz)
!  5: Theta_corrected(dB)
!  6: Phi_corrected(dB)
!  7: Theta_corrected_V/M(V/M)
!  8: Phi_corrected_V/M(V/M)
!  9: Reference_Power(dBm)
! 10: Polarization
!VersionNotes: Merged calibration file from multiple sources
!BaseParams: {"ref_power": "-10.0_-5.0", "polarization": "DUAL", "distance": 1.0, "operator": "SYSTEM"}
Frequency,Theta,Phi,Horn_Gain,Theta_corrected,Phi_corrected,Theta_corrected_V/M,Phi_corrected_V/M,Reference_Power,Polarization
13.600000,-1.26,-1.90,12.19744,-13.45,-14.10,20.97,19.46,-5.00,DUAL
13.700000,-1.67,-2.21,12.20842,-13.88,-14.42,20.10,18.89,-5.00,DUAL
13.800000,-1.88,-2.00,12.13763,-14.02,-14.14,19.93,19.66,-5.00,DUAL
13.900000,-2.00,-1.82,12.27340,-14.27,-14.09,19.51,19.91,-5.00,DUAL
14.000000,-1.26,-2.12,12.37179,-13.63,-14.49,21.15,19.16,-5.00,DUAL
14.100000,-1.51,-2.36,12.49934,-14.01,-14.86,20.39,18.49,-5.00,DUAL
14.200000,-3.11,-2.96,12.66379,-15.78,-15.62,16.76,17.06,-5.00,DUAL
14.300000,-3.00,-2.76,12.75306,-15.76,-15.51,16.91,17.40,-5.00,DUAL
14.400000,-2.54,-3.08,12.95304,-15.49,-16.03,17.56,16.50,-5.00,DUAL
14.500000,-2.52,-3.30,12.98098,-15.50,-16.28,17.67,16.14,-5.00,DUAL
14.600000,-3.72,-3.73,12.97743,-16.70,-16.71,15.49,15.47,-5.00,DUAL
14.700000,-3.69,-3.17,12.96870,-16.66,-16.14,15.67,16.64,-5.00,DUAL
14.800000,-3.95,-4.20,12.98435,-16.94,-17.18,15.28,14.86,-5.00,DUAL
14.900000,-3.88,-4.52,13.09185,-16.98,-17.61,15.31,14.23,-5.00,DUAL
15.000000,-4.85,-4.85,13.14193,-17.99,-18.00,13.71,13.71,-5.00,DUAL
15.100000,-4.73,-4.27,13.19285,-17.92,-17.47,13.92,14.67,-5.00,DUAL
15.200000,-4.53,-5.06,13.36360,-17.89,-18.43,14.06,13.22,-5.00,DUAL
15.300000,-4.10,-5.16,13.60278,-17.70,-18.76,14.47,12.80,-5.00,DUAL
15.400000,-5.12,-5.35,13.73027,-18.85,-19.08,12.75,12.42,-5.00,DUAL
15.500000,-5.16,-4.26,13.87976,-19.04,-18.13,12.56,13.94,-5.00,DUAL
15.600000,-4.34,-4.44,13.89044,-18.23,-18.33,13.88,13.72,-5.00,DUAL
15.700000,-4.31,-5.11,13.96763,-18.28,-19.08,13.88,12.66,-5.00,DUAL
15.800000,-5.31,-5.64,13.99089,-19.30,-19.63,12.43,11.96,-5.00,DUAL
15.900000,-5.90,-5.00,14.08453,-19.98,-19.09,11.56,12.82,-5.00,DUAL
16.000000,-5.40,-5.26,14.16735,-19.56,-19.43,12.21,12.40,-5.00,DUAL
16.100000,-4.33,-4.80,14.25064,-18.59,-19.05,13.75,13.04,-5.00,DUAL
16.200000,-5.07,-5.65,14.28856,-19.36,-19.94,12.65,11.84,-5.00,DUAL
16.300000,-5.71,-5.11,14.46572,-20.17,-19.58,11.59,12.41,-5.00,DUAL
16.400000,-5.62,-5.29,14.59189,-20.21,-19.88,11.62,12.06,-5.00,DUAL
16.500000,-5.66,-5.44,14.72543,-20.38,-20.16,11.46,11.75,-5.00,DUAL
16.600000,-5.48,-5.49,14.75118,-20.24,-20.25,11.72,11.71,-5.00,DUAL
16.700000,-5.87,-5.39,14.82280,-20.70,-20.22,11.18,11.82,-5.00,DUAL
16.800000,-5.03,-5.24,14.92307,-19.95,-20.16,12.26,11.96,-5.00,DUAL
16.900000,-4.48,-4.84,15.09146,-19.58,-19.93,12.88,12.36,-5.00,DUAL
17.000000,-5.03,-5.21,14.39255,-19.42,-19.60,13.18,12.91,-5.00,DUAL
17.100000,-5.63,-5.13,15.74507,-21.37,-20.87,10.59,11.22,-5.00,DUAL
17.200000,-4.74,-4.59,16.10714,-20.85,-20.70,11.32,11.51,-5.00,DUAL
17.300000,-4.61,-4.78,16.26716,-20.88,-21.05,11.34,11.12,-5.00,DUAL
17.400000,-4.56,-4.82,16.39990,-20.96,-21.22,11.31,10.97,-5.00,DUAL
17.500000,-4.21,-4.34,16.47439,-20.68,-20.81,11.74,11.57,-5.00,DUAL
17.600000,-3.17,-3.05,16.50951,-19.68,-19.56,13.25,13.43,-5.00,DUAL
17.700000,-3.21,-3.36,16.42584,-19.64,-19.79,13.39,13.16,-5.00,DUAL
17.800000,-3.54,-4.02,16.35579,-19.90,-20.38,13.07,12.37,-5.00,DUAL
17.900000,-4.41,-4.34,16.37898,-20.79,-20.72,11.86,11.95,-5.00,DUAL
18.000000,-0.57,-0.22,16.76833,-17.34,-16.98,17.74,18.48,-10.00,DUAL
18.100000,-0.63,-0.63,16.79284,-17.43,-17.43,17.66,17.66,-10.00,DUAL
18.200000,-0.57,-0.77,16.88854,-17.46,-17.66,17.69,17.29,-10.00,DUAL
18.300000,-0.82,-0.78,16.97164,-17.80,-17.75,17.11,17.20,-10.00,DUAL
18.400000,-0.63,-0.77,17.05326,-17.68,-17.82,17.43,17.16,-10.00,DUAL
18.500000,-0.38,-0.67,17.13466,-17.51,-17.81,17.88,17.28,-10.00,DUAL
18.600000,-0.15,-0.44,17.21938,-17.37,-17.66,18.27,17.68,-10.00,DUAL
18.700000,-0.52,-0.34,17.30896,-17.83,-17.65,17.42,17.78,-10.00,DUAL
18.800000,-0.53,-0.59,17.39714,-17.93,-17.99,17.31,17.20,-10.00,DUAL
18.900000,-0.06,-0.39,17.45742,-17.52,-17.85,18.24,17.57,-10.00,DUAL
19.000000,0.12,-0.29,17.49133,-17.38,-17.78,18.65,17.80,-10.00,DUAL
19.100000,0.14,0.10,17.50242,-17.37,-17.41,18.77,18.68,-10.00,DUAL
19.200000,0.17,-0.07,17.47615,-17.30,-17.55,19.00,18.48,-10.00,DUAL
19.300000,0.16,-0.54,17.44052,-17.28,-17.98,19.15,17.66,-10.00,DUAL
19.400000,-0.29,-0.97,17.39627,-17.69,-18.36,18.37,17.00,-10.00,DUAL
19.500000,-0.35,-0.58,17.35469,-17.71,-17.93,18.42,17.95,-10.00,DUAL
19.600000,-0.35,-0.70,17.31817,-17.67,-18.02,18.59,17.87,-10.00,DUAL
19.700000,-0.42,-1.18,17.28821,-17.70,-18.47,18.62,17.05,-10.00,DUAL
19.800000,-0.58,-1.61,17.27458,-17.86,-18.89,18.38,16.33,-10.00,DUAL
19.900000,-1.03,-1.69,17.26869,-18.30,-18.96,17.55,16.28,-10.00,DUAL
20.000000,-1.33,-1.35,17.28432,-18.61,-18.64,17.03,16.98,-10.00,DUAL
20.100000,-0.75,-1.36,17.31651,-18.07,-18.68,18.22,16.98,-10.00,DUAL
20.200000,-0.89,-1.20,17.36393,-18.26,-18.56,17.91,17.30,-10.00,DUAL
20.300000,-1.13,-0.99,17.43173,-18.56,-18.43,17.38,17.66,-10.00,DUAL
20.400000,-1.22,-1.25,17.50523,-18.73,-18.75,17.14,17.09,-10.00,DUAL
20.500000,-1.13,-1.36,17.58127,-18.72,-18.94,17.24,16.80,-10.00,DUAL
20.600000,-1.17,-1.52,17.65829,-18.83,-19.18,17.10,16.43,-10.00,DUAL
20.700000,-1.41,-1.21,17.73652,-19.15,-18.95,16.57,16.96,-10.00,DUAL
20.800000,-1.18,-1.37,17.81202,-18.99,-19.18,16.95,16.58,-10.00,DUAL
20.900000,-0.47,-1.16,17.88368,-18.35,-19.04,18.33,16.93,-10.00,DUAL
21.000000,-1.41,-1.69,17.95158,-19.36,-19.64,16.40,15.89,-10.00,DUAL
21.100000,-1.79,-1.55,18.01556,-19.80,-19.56,15.66,16.10,-10.00,DUAL
21.200000,-1.37,-1.56,18.08091,-19.45,-19.65,16.38,16.02,-10.00,DUAL
21.300000,-1.18,-1.66,18.14150,-19.32,-19.80,16.72,15.81,-10.00,DUAL
21.400000,-1.29,-1.71,18.19562,-19.49,-19.91,16.47,15.69,-10.00,DUAL
21.500000,-2.03,-2.16,18.23102,-20.27,-20.39,15.13,14.91,-10.00,DUAL
21.600000,-2.18,-2.00,18.25673,-20.44,-20.25,14.90,15.22,-10.00,DUAL
21.700000,-1.84,-2.40,18.27445,-20.12,-20.67,15.53,14.58,-10.00,DUAL
21.800000,-1.63,-1.90,18.28529,-19.92,-20.19,15.97,15.48,-10.00,DUAL
21.900000,-1.98,-2.02,18.29662,-20.28,-20.31,15.39,15.33,-10.00,DUAL
22.000000,-1.88,-1.89,18.31307,-20.19,-20.20,15.61,15.60,-10.00,DUAL
22.100000,-2.31,-2.60,18.33572,-20.64,-20.94,14.89,14.39,-10.00,DUAL
22.200000,-2.69,-3.21,18.36347,-21.06,-21.57,14.26,13.44,-10.00,DUAL
22.300000,-2.71,-2.55,18.39856,-21.11,-20.95,14.24,14.50,-10.00,DUAL
22.400000,-2.34,-2.51,18.43431,-20.78,-20.94,14.86,14.58,-10.00,DUAL
22.500000,-2.06,-2.61,18.47053,-20.53,-21.08,15.36,14.41,-10.00,DUAL
22.600000,-3.15,-3.75,18.50446,-21.65,-22.26,13.56,12.65,-10.00,DUAL
22.700000,-2.91,-2.66,18.53698,-21.44,-21.20,13.95,14.34,-10.00,DUAL
22.800000,-2.74,-2.45,18.56694,-21.31,-21.02,14.23,14.71,-10.00,DUAL
22.900000,-2.69,-2.78,18.59428,-21.29,-21.37,14.33,14.19,-10.00,DUAL
23.000000,-3.42,-3.29,18.61985,-22.04,-21.91,13.19,13.40,-10.00,DUAL
23.100000,-3.82,-3.41,18.63782,-22.46,-22.05,12.62,13.24,-10.00,DUAL
23.200000,-3.62,-3.31,18.65569,-22.27,-21.96,12.96,13.43,-10.00,DUAL
23.300000,-3.02,-3.32,18.67341,-21.69,-21.99,13.92,13.45,-10.00,DUAL
23.400000,-2.69,-2.94,18.69982,-21.39,-21.64,14.47,14.06,-10.00,DUAL
23.500000,-3.88,-3.57,18.73167,-22.61,-22.30,12.63,13.09,-10.00,DUAL
23.600000,-4.16,-3.57,18.77661,-22.94,-22.35,12.21,13.07,-10.00,DUAL
23.700000,-3.82,-3.84,18.83139,-22.65,-22.67,12.68,12.64,-10.00,DUAL
23.800000,-3.50,-3.48,18.89297,-22.40,-22.37,13.10,13.14,-10.00,DUAL
23.900000,-4.02,-3.85,18.95960,-22.98,-22.80,12.31,12.56,-10.00,DUAL
24.000000,-4.01,-3.87,19.02373,-23.04,-22.89,12.28,12.49,-10.00,DUAL
24.100000,-4.10,-3.89,19.08485,-23.19,-22.97,12.11,12.42,-10.00,DUAL
24.200000,-4.11,-3.97,19.14201,-23.25,-23.12,12.08,12.26,-10.00,DUAL
24.300000,-4.08,-3.55,19.18836,-23.26,-22.74,12.11,12.87,-10.00,DUAL
24.400000,-3.31,-3.30,19.21844,-22.53,-22.52,13.23,13.24,-10.00,DUAL
24.500000,-3.38,-3.66,19.23796,-22.62,-22.90,13.14,12.73,-10.00,DUAL
24.600000,-4.55,-4.76,19.23014,-23.78,-23.99,11.56,11.28,-10.00,DUAL
24.700000,-4.75,-4.65,19.21289,-23.96,-23.86,11.36,11.49,-10.00,DUAL
24.800000,-4.11,-4.22,19.18381,-23.30,-23.40,12.31,12.16,-10.00,DUAL
24.900000,-3.56,-3.68,19.14977,-22.71,-22.83,13.22,13.04,-10.00,DUAL
25.000000,-4.42,-4.51,19.11632,-23.54,-23.63,12.07,11.94,-10.00,DUAL
25.100000,-5.09,-5.21,19.08636,-24.18,-24.30,11.26,11.10,-10.00,DUAL
25.200000,-5.15,-5.13,19.06277,-24.21,-24.19,11.26,11.28,-10.00,DUAL
25.300000,-4.36,-4.85,19.04285,-23.41,-23.89,12.40,11.72,-10.00,DUAL
25.400000,-4.86,-4.70,19.03779,-23.90,-23.74,11.77,11.98,-10.00,DUAL
25.500000,-5.12,-4.51,19.03900,-24.16,-23.55,11.46,12.30,-10.00,DUAL
25.600000,-5.19,-5.20,19.05039,-24.24,-24.25,11.40,11.39,-10.00,DUAL
25.700000,-5.07,-5.13,19.07143,-24.14,-24.20,11.58,11.49,-10.00,DUAL
25.800000,-4.62,-5.08,19.09709,-23.72,-24.18,12.20,11.57,-10.00,DUAL
25.900000,-4.36,-4.09,19.13013,-23.49,-23.22,12.57,12.97,-10.00,DUAL
26.000000,-4.33,-4.07,19.16623,-23.50,-23.24,12.61,12.99,-10.00,DUAL
26.100000,-5.30,-5.56,19.20513,-24.50,-24.77,11.28,10.94,-10.00,DUAL
26.200000,-5.12,-5.22,19.24403,-24.36,-24.46,11.50,11.37,-10.00,DUAL
26.300000,-5.10,-5.22,19.27591,-24.38,-24.49,11.53,11.38,-10.00,DUAL
26.400000,-4.58,-4.19,19.29675,-23.87,-23.49,12.26,12.82,-10.00,DUAL
26.500000,-0.13,-0.19,19.29307,-19.42,-19.48,20.55,20.41,-5.00,DUAL
26.600000,-0.09,-0.08,19.27644,-19.37,-19.36,20.75,20.78,-5.00,DUAL
26.700000,-0.28,-1.09,19.23773,-19.52,-20.32,20.47,18.66,-5.00,DUAL
26.800000,-0.11,-0.86,19.19224,-19.31,-20.06,21.06,19.32,-5.00,DUAL
26.900000,0.04,-0.37,19.14528,-19.11,-19.52,21.63,20.63,-5.00,DUAL
27.000000,0.07,-0.16,19.10379,-19.03,-19.27,21.89,21.31,-5.00,DUAL
27.100000,-0.31,-1.03,19.07038,-19.38,-20.10,21.11,19.44,-5.00,DUAL
27.200000,-0.60,-1.43,19.04150,-19.64,-20.47,20.57,18.70,-5.00,DUAL
27.300000,-0.14,-0.46,19.02378,-19.16,-19.48,21.81,21.03,-5.00,DUAL
27.400000,-0.64,-1.00,19.01098,-19.65,-20.02,20.70,19.84,-5.00,DUAL
27.500000,-0.12,-0.63,19.00474,-19.12,-19.63,22.07,20.82,-5.00,DUAL
27.600000,-0.01,-0.72,19.00501,-19.02,-19.73,22.42,20.66,-5.00,DUAL
27.700000,-0.44,-0.75,19.00775,-19.45,-19.76,21.42,20.66,-5.00,DUAL
27.800000,-0.82,-0.76,19.01399,-19.84,-19.77,20.55,20.70,-5.00,DUAL
27.900000,-0.35,-0.70,19.02123,-19.37,-19.72,21.76,20.91,-5.00,DUAL
28.000000,0.10,-0.53,19.03009,-18.93,-19.56,22.99,21.38,-5.00,DUAL
28.100000,-0.28,-1.01,19.03886,-19.32,-20.05,22.05,20.27,-5.00,DUAL
28.200000,-0.16,-0.40,19.04770,-19.20,-19.45,22.43,21.81,-5.00,DUAL
28.300000,-0.01,-0.83,19.05893,-19.07,-19.89,22.85,20.80,-5.00,DUAL
28.400000,-0.08,-0.75,19.07248,-19.15,-19.82,22.71,21.03,-5.00,DUAL
28.500000,-0.43,-1.05,19.09020,-19.52,-20.14,21.86,20.35,-5.00,DUAL
28.600000,-0.21,-0.46,19.11373,-19.33,-19.57,22.43,21.80,-5.00,DUAL
28.700000,-0.34,-0.89,19.14038,-19.48,-20.03,22.11,20.76,-5.00,DUAL
28.800000,-0.49,-1.28,19.17342,-19.67,-20.45,21.71,19.84,-5.00,DUAL
28.900000,-0.06,-0.76,19.20870,-19.27,-19.97,22.81,21.04,-5.00,DUAL
29.000000,-0.47,-0.86,19.24626,-19.71,-20.11,21.75,20.78,-5.00,DUAL
29.100000,-0.11,-0.46,19.29199,-19.41,-19.75,22.61,21.73,-5.00,DUAL
29.200000,0.07,-0.27,19.34087,-19.27,-19.61,23.03,22.16,-5.00,DUAL
29.300000,-0.32,-0.75,19.39306,-19.71,-20.15,21.97,20.91,-5.00,DUAL
29.400000,-1.30,-1.44,19.43672,-20.74,-20.88,19.60,19.28,-5.00,DUAL
29.500000,-0.52,-0.66,19.47169,-19.99,-20.13,21.42,21.08,-5.00,DUAL
29.600000,0.06,-0.26,19.49775,-19.44,-19.76,22.92,22.08,-5.00,DUAL
29.700000,0.06,-0.63,19.50971,-19.45,-20.14,22.95,21.21,-5.00,DUAL
29.800000,-0.91,-1.14,19.51872,-20.43,-20.66,20.58,20.04,-5.00,DUAL
29.900000,-1.02,-1.29,19.52371,-20.54,-20.81,20.38,19.76,-5.00,DUAL
30.000000,-0.54,-1.01,19.52998,-20.07,-20.54,21.60,20.47,-5.00,DUAL
30.100000,-0.17,-0.85,19.53747,-19.71,-20.39,22.58,20.89,-5.00,DUAL
30.200000,-0.72,-1.00,19.54186,-20.27,-20.54,21.25,20.59,-5.00,DUAL
30.300000,-1.11,-1.28,19.54355,-20.65,-20.82,20.40,20.00,-5.00,DUAL
30.400000,-1.18,-1.64,19.53327,-20.71,-21.18,20.32,19.26,-5.00,DUAL
30.500000,-0.84,-1.22,19.51129,-20.35,-20.73,21.25,20.35,-5.00,DUAL
30.600000,-0.82,-1.59,19.47811,-20.30,-21.07,21.45,19.63,-5.00,DUAL
30.700000,-1.35,-1.56,19.42176,-20.77,-20.98,20.39,19.90,-5.00,DUAL
30.800000,-1.53,-1.89,19.36680,-20.89,-21.26,20.17,19.33,-5.00,DUAL
30.900000,-1.81,-2.17,19.31578,-21.13,-21.48,19.70,18.90,-5.00,DUAL
31.000000,-1.59,-2.01,19.28990,-20.88,-21.30,20.33,19.36,-5.00,DUAL
31.100000,-2.08,-2.19,19.27901,-21.36,-21.47,19.29,19.05,-5.00,DUAL
31.200000,-1.75,-1.97,19.28030,-21.03,-21.25,20.11,19.60,-5.00,DUAL
31.300000,-1.81,-2.22,19.29779,-21.11,-21.52,20.00,19.07,-5.00,DUAL
31.400000,-1.57,-2.35,19.31960,-20.89,-21.67,20.57,18.80,-5.00,DUAL
31.500000,-2.16,-2.65,19.34956,-21.51,-22.00,19.21,18.16,-5.00,DUAL
31.600000,-2.51,-2.66,19.38390,-21.90,-22.04,18.43,18.12,-5.00,DUAL
31.700000,-1.97,-2.13,19.42115,-21.39,-21.55,19.60,19.24,-5.00,DUAL
31.800000,-1.97,-2.37,19.46263,-21.43,-21.83,19.56,18.69,-5.00,DUAL
31.900000,-2.52,-2.68,19.50454,-22.03,-22.19,18.33,17.99,-5.00,DUAL
32.000000,-3.06,-3.12,19.54678,-22.60,-22.67,17.20,17.08,-5.00,DUAL
32.100000,-2.68,-2.63,19.58965,-22.27,-22.22,17.94,18.04,-5.00,DUAL
32.200000,-2.72,-2.97,19.63005,-22.35,-22.60,17.82,17.33,-5.00,DUAL
32.300000,-2.27,-2.66,19.66818,-21.94,-22.32,18.75,17.93,-5.00,DUAL
32.400000,-2.20,-2.08,19.69615,-21.90,-21.78,18.90,19.15,-5.00,DUAL
32.500000,-3.33,-3.30,19.71809,-23.04,-23.02,16.61,16.66,-5.00,DUAL
32.600000,-3.23,-3.45,19.73093,-22.96,-23.18,16.81,16.39,-5.00,DUAL
32.700000,-2.81,-3.18,19.73785,-22.54,-22.92,17.70,16.96,-5.00,DUAL
32.800000,-2.64,-2.65,19.74311,-22.38,-22.39,18.09,18.07,-5.00,DUAL
32.900000,-2.91,-2.98,19.75185,-22.66,-22.73,17.58,17.44,-5.00,DUAL
33.000000,-2.60,-2.64,19.76418,-22.36,-22.41,18.24,18.14,-5.00,DUAL
33.100000,-2.94,-3.36,19.78216,-22.72,-23.14,17.55,16.73,-5.00,DUAL
33.200000,-3.86,-4.02,19.80849,-23.67,-23.83,15.79,15.51,-5.00,DUAL
33.300000,-3.51,-3.54,19.83852,-23.34,-23.38,16.44,16.38,-5.00,DUAL
33.400000,-2.44,-2.55,19.87340,-22.32,-22.42,18.56,18.34,-5.00,DUAL
33.500000,-2.74,-3.12,19.91022,-22.65,-23.03,17.91,17.14,-5.00,DUAL
33.600000,-3.43,-3.97,19.94840,-23.38,-23.92,16.53,15.52,-5.00,DUAL
33.700000,-3.29,-3.89,19.98730,-23.28,-23.87,16.77,15.66,-5.00,DUAL
33.800000,-3.03,-3.35,20.02814,-23.06,-23.38,17.24,16.63,-5.00,DUAL
33.900000,-2.52,-2.76,20.07101,-22.59,-22.83,18.26,17.77,-5.00,DUAL
34.000000,-2.64,-2.94,20.12151,-22.76,-23.06,17.95,17.34,-5.00,DUAL
34.100000,-3.19,-3.33,20.17377,-23.37,-23.51,16.79,16.53,-5.00,DUAL
34.200000,-3.73,-4.16,20.22747,-23.96,-24.39,15.73,14.97,-5.00,DUAL
34.300000,-2.60,-2.96,20.28198,-22.89,-23.24,17.85,17.14,-5.00,DUAL
34.400000,-2.34,-2.98,20.33499,-22.67,-23.31,18.35,17.04,-5.00,DUAL
34.500000,-3.01,-3.09,20.38560,-23.40,-23.48,16.93,16.77,-5.00,DUAL
34.600000,-3.38,-3.36,20.42985,-23.81,-23.79,16.19,16.22,-5.00,DUAL
34.700000,-2.92,-3.01,20.47046,-23.39,-23.48,17.03,16.87,-5.00,DUAL
