!RNX Dual-Polarized Feed Calibration Data
!Created: 20250727T162037ZZ
!Operator: SYSTEM
!Base Parameters:
!  Reference_Power: -30.0_-20.0 dBm
!  Polarization: PHI
!  Distance: 1.0 m
!Equipment:
!  Signal_Generator: PLASG-T8G40G_SN:SN00000
!  Spectrum_Analyzer: NRP50S_SN:SN00000
!  Antenna: RNX_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 8.0 GHz
!  Stop: 40.0 GHz
!  Step: FreqList GHz
!  Points: 66
!Data Columns:
!  1: Frequency(GHz)
!  2: Theta(dB)
!  3: Phi(dB)
!  4: Horn_Gain(GHz)
!  5: Theta_corrected(dB)
!  6: Phi_corrected(dB)
!  7: Theta_corrected_V/M(V/M)
!  8: Phi_corrected_V/M(V/M)
!  9: Reference_Power(dBm)
! 10: Polarization
!VersionNotes: Merged calibration file from multiple sources
!BaseParams: {"ref_power": "-30.0_-20.0", "polarization": "PHI", "distance": 1.0, "operator": "SYSTEM"}
Frequency,Theta,Phi,Horn_Gain,Theta_corrected,Phi_corrected,Theta_corrected_V/M,Phi_corrected_V/M,Reference_Power,Polarization
29.000000,0.00,18.00,8.00000,0.00,18.00,0.00,18.00,-20.00,PHI
29.000000,0.00,8.00,8.00000,0.00,8.00,0.00,8.00,-30.00,PHI
30.000000,0.00,18.00,8.00000,0.00,18.00,0.00,18.00,-20.00,PHI
30.000000,0.00,8.00,8.00000,0.00,8.00,0.00,8.00,-30.00,PHI
31.000000,0.00,18.00,8.00000,0.00,18.00,0.00,18.00,-20.00,PHI
31.000000,0.00,8.00,8.00000,0.00,8.00,0.00,8.00,-30.00,PHI
32.000000,0.00,18.00,8.00000,0.00,18.00,0.00,18.00,-20.00,PHI
32.000000,0.00,8.00,8.00000,0.00,8.00,0.00,8.00,-30.00,PHI
33.000000,0.00,18.00,8.00000,0.00,18.00,0.00,18.00,-20.00,PHI
33.000000,0.00,8.00,8.00000,0.00,8.00,0.00,8.00,-30.00,PHI
34.000000,0.00,18.00,8.00000,0.00,18.00,0.00,18.00,-20.00,PHI
34.000000,0.00,8.00,8.00000,0.00,8.00,0.00,8.00,-30.00,PHI
35.000000,0.00,18.00,8.00000,0.00,18.00,0.00,18.00,-20.00,PHI
35.000000,0.00,8.00,8.00000,0.00,8.00,0.00,8.00,-30.00,PHI
36.000000,0.00,18.00,8.00000,0.00,18.00,0.00,18.00,-20.00,PHI
36.000000,0.00,8.00,8.00000,0.00,8.00,0.00,8.00,-30.00,PHI
37.000000,0.00,18.00,8.00000,0.00,18.00,0.00,18.00,-20.00,PHI
37.000000,0.00,8.00,8.00000,0.00,8.00,0.00,8.00,-30.00,PHI
38.000000,0.00,18.00,8.00000,0.00,18.00,0.00,18.00,-20.00,PHI
38.000000,0.00,8.00,8.00000,0.00,8.00,0.00,8.00,-30.00,PHI
39.000000,0.00,18.00,8.00000,0.00,18.00,0.00,18.00,-20.00,PHI
39.000000,0.00,8.00,8.00000,0.00,8.00,0.00,8.00,-30.00,PHI
40.000000,0.00,18.00,8.00000,0.00,18.00,0.00,18.00,-20.00,PHI
40.000000,0.00,8.00,8.00000,0.00,8.00,0.00,8.00,-30.00,PHI
!EndOfData: 2025-07-27T16:20:37Z
!Notes: Merged calibration file from multiple sources
!MD5: b51ade12f5f8c98901e904e55af2f465
