!RNX Dual-Polarized Feed Calibration Data
!Created: 20250709T114702ZZ
!Operator: SYSTEM
!Equipment:
!  Signal_Generator: DEFAULT_SG_SN:SN00000
!  Spectrum_Analyzer: DEFAULT_SA_SN:SN00000
!  Antenna: DEFAULT_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 8 GHz
!  Stop: 40 GHz
!  Step: 0.01 GHz
!  Points: 3201
!Data Columns:
!  1: Frequency(GHz)
!  2: X_Theta(dB)
!  3: X_Phi(dB)
!  4: Ku_Theta(dB)
!  5: Ku_Phi(dB)
!  6: K_Theta(dB)
!  7: K_Phi(dB)
!  8: Ka_Theta(dB)
!  9: Ka_Phi(dB)
Frequency(GHz),X_Theta,X_Phi,Ku_Theta,Ku_Phi,K_Theta,K_Phi,Ka_Theta,Ka_Phi
8.890,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.900,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.910,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.920,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.930,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.940,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.950,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.960,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.970,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.980,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.990,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.010,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.020,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.030,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.040,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.050,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.060,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.070,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.080,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.090,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.100,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.110,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.120,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.130,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.140,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.150,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.160,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.170,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.180,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.190,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.200,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.210,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.220,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.230,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.240,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.250,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.260,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.270,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.280,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.290,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.300,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.310,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.320,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.330,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.340,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.350,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.360,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.370,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.380,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.390,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.400,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.410,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.420,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.430,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.440,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.450,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.460,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.470,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.480,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.490,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.500,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.510,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.520,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.530,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.540,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.550,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.560,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.570,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.580,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.590,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.600,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.610,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.620,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.630,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.640,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.650,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.660,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.670,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.680,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.690,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.700,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.710,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.720,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.730,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.740,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.750,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.760,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.770,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.780,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.790,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.800,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.810,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.820,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.830,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.840,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.850,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.860,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.870,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.880,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.890,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.900,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.910,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.920,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.930,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.940,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.950,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.960,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.970,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.980,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.990,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.010,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.020,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.030,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.040,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.050,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.060,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.070,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.080,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.090,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.100,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.110,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.120,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.130,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.140,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.150,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.160,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.170,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.180,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.190,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.200,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.210,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.220,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.230,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.240,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.250,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.260,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.270,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.280,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.290,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.300,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.310,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.320,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.330,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.340,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.350,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.360,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.370,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.380,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.390,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.400,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.410,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.420,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.430,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.440,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.450,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.460,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.470,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.480,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.490,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.500,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.510,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.520,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.530,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.540,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.550,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.560,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.570,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.580,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.590,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.600,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.610,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.620,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.630,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.640,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.650,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.660,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.670,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.680,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.690,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.700,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.710,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.720,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.730,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.740,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.750,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.760,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.770,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.780,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.790,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.800,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.810,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.820,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.830,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.840,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.850,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.860,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.870,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.880,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.890,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.900,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.910,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.920,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.930,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.940,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.950,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.960,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.970,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.980,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.990,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.010,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.020,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.030,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.040,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.050,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.060,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.070,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.080,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.090,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.100,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.110,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.120,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.130,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.140,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.150,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.160,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.170,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.180,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.190,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.200,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.210,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.220,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.230,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.240,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.250,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.260,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.270,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.280,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.290,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.300,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.310,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.320,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.330,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.340,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.350,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.360,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.370,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.380,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.390,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.400,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.410,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.420,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.430,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.440,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.450,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.460,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.470,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.480,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.490,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.500,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.510,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.520,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.530,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.540,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.550,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.560,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.570,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.580,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.590,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.600,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.610,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.620,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.630,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.640,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.650,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
