!RNX Dual-Polarized Feed Calibration Data
!Created: 20250720T043135ZZ
!Operator: SYSTEM
!Equipment:
!  Signal_Generator: DEFAULT_SG_SN:SN00000
!  Spectrum_Analyzer: DEFAULT_SA_SN:SN00000
!  Antenna: DEFAULT_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 8.0 GHz
!  Stop: 40.0 GHz
!  Step: 0.1 GHz
!  Points: 81
!Data Columns:
!  1: Frequency(GHz)
!  2: X_Theta(dB)
!  3: X_Phi(dB)
!  4: Ku_Theta(dB)
!  5: Ku_Phi(dB)
!  6: K_Theta(dB)
!  7: K_Phi(dB)
!  8: Ka_Theta(dB)
!  9: Ka_Phi(dB)
Frequency(GHz),X_Theta,X_Phi,Ku_Theta,Ku_Phi,K_Theta,K_Phi,Ka_Theta,Ka_Phi
18.645848,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
19.233068,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
19.500000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
19.839727,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
20.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
20.530405,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
21.137731,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
21.500000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
21.947126,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
22.551463,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
23.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
23.497291,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
24.094111,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
24.500000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
25.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
25.196992,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
25.780710,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
26.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
26.500000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
27.064712,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
27.628446,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
28.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
28.500000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
29.121741,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
29.657029,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
30.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
30.500000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
31.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
31.392694,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
31.889133,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
32.500000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
33.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
33.500000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
33.906128,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
34.350931,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
35.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
35.500000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
36.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
36.500000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
36.695304,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
37.072739,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
37.500000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
38.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
38.500000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
39.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
39.500000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
39.799112,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
40.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
!EndOfData: 2025-07-20T04:31:35Z
!Notes: 系统自动生成的默认校准文件
!MD5: afedc3a8bb041a4d02e3442ed30c2c48
